"id","invoice_id","invoices_custom_id","name","type","value","_weld_synced"
"c_primarysystem","222","222_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.698Z"
"c_primarysystem","219","219_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.697Z"
"c_primarysystem","275","275_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.707Z"
"c_primarysystem","250","250_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.701Z"
"c_primarysystem","242","242_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.699Z"
"c_primarysystem","285","285_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.707Z"
"c_primarysystem","234","234_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.699Z"
"c_primarysystem","231","231_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.884Z"
"c_primarysystem","281","281_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.788Z"
"c_primarysystem","265","265_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.704Z"
"c_primarysystem","276","276_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.707Z"
"c_primarysystem","268","268_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.705Z"
"c_primarysystem","260","260_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.702Z"
"c_primarysystem","249","249_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.701Z"
"c_primarysystem","262","262_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.703Z"
"c_primarysystem","247","247_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.700Z"
"c_primarysystem","245","245_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.700Z"
"c_primarysystem","229","229_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.710Z"
"c_primarysystem","264","264_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.703Z"
"c_primarysystem","235","235_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.699Z"
"c_primarysystem","271","271_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.706Z"
"c_primarysystem","253","253_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.711Z"
"c_primarysystem","216","216_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.697Z"
"c_primarysystem","230","230_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.710Z"
"c_primarysystem","273","273_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.706Z"
"c_primarysystem","277","277_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.707Z"
"c_primarysystem","227","227_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.709Z"
"c_primarysystem","263","263_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.703Z"
"c_primarysystem","246","246_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.700Z"
"c_primarysystem","261","261_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.703Z"
"c_primarysystem","243","243_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.699Z"
"c_primarysystem","251","251_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.885Z"
"c_campaigncode","249","249_c_campaigncode","Campaign Ref","text","""UCL Hospitality Village 2025""","2025-04-17T12:07:50.701Z"
"c_campaigncode","234","234_c_campaigncode","Campaign Ref","text","""UCL Hospitality Village 2025""","2025-04-17T12:07:50.699Z"
"c_primarysystem","213","213_c_primarysystem","Primary System","dropdown","""WFM Primary""","2025-04-17T12:07:50.696Z"
"c_primarysystem","211","211_c_primarysystem","Primary System","dropdown","""WFM Primary""","2025-04-17T12:07:50.696Z"
"c_primarysystem","226","226_c_primarysystem","Primary System","dropdown","""WFM Primary""","2025-04-17T12:07:50.698Z"
"c_primarysystem","207","207_c_primarysystem","Primary System","dropdown","""WFM Primary""","2025-04-17T12:07:50.695Z"
"c_primarysystem","206","206_c_primarysystem","Primary System","dropdown","""WFM Primary""","2025-04-17T12:07:50.695Z"
"c_primarysystem","205","205_c_primarysystem","Primary System","dropdown","""WFM Primary""","2025-04-17T12:07:50.694Z"
"c_primarysystem","208","208_c_primarysystem","Primary System","dropdown","""WFM Primary""","2025-04-17T12:07:50.695Z"
"c_primarysystem","278","278_c_primarysystem","Primary System","dropdown","""WFM Primary""","2025-04-17T12:07:50.787Z"
"c_primarysystem","210","210_c_primarysystem","Primary System","dropdown","""WFM Primary""","2025-04-17T12:07:50.696Z"
"c_primarysystem","237","237_c_primarysystem","Primary System","dropdown","""WFM Primary""","2025-04-17T12:07:50.711Z"
"c_primarysystem","279","279_c_primarysystem","Primary System","dropdown","""WFM Primary""","2025-04-17T12:07:50.788Z"
"c_primarysystem","214","214_c_primarysystem","Primary System","dropdown","""WFM Primary""","2025-04-17T12:07:50.697Z"
"c_primarysystem","209","209_c_primarysystem","Primary System","dropdown","""WFM Primary""","2025-04-17T12:07:50.695Z"
"c_primarysystem","252","252_c_primarysystem","Primary System","dropdown","""WFM Primary""","2025-04-17T12:07:50.701Z"
"c_primarysystem","212","212_c_primarysystem","Primary System","dropdown","""WFM Primary""","2025-04-17T12:07:50.696Z"
"c_clientponumber","252","252_c_clientponumber","Client PO number","text","1115109847","2025-04-17T12:07:50.701Z"
"c_clientponumber","216","216_c_clientponumber","Client PO number","text","1115110997","2025-04-17T12:07:50.697Z"
"c_clientponumber","207","207_c_clientponumber","Client PO number","text","3006343363","2025-04-17T12:07:50.695Z"
"c_clientponumber","221","221_c_clientponumber","Client PO number","text","3006343363","2025-04-17T12:07:50.698Z"
"c_campaigncode","204","204_c_campaigncode","Campaign Ref","text","31781209502","2025-04-17T12:07:50.694Z"
"c_clientponumber","253","253_c_clientponumber","Client PO number","text","5300927866","2025-04-17T12:07:50.711Z"
"c_clientponumber","255","255_c_clientponumber","Client PO number","text","5300927868","2025-04-17T12:07:50.711Z"
"c_clientponumber","257","257_c_clientponumber","Client PO number","text","5300929462","2025-04-17T12:07:50.787Z"
"c_clientponumber","256","256_c_clientponumber","Client PO number","text","5300929465","2025-04-17T12:07:50.785Z"
"c_clientponumber","281","281_c_clientponumber","Client PO number","text","5300941104","2025-04-17T12:07:50.788Z"
"c_clientponumber","218","218_c_clientponumber","Client PO number","text","6500018368","2025-04-17T12:07:50.697Z"
"c_clientponumber","219","219_c_clientponumber","Client PO number","text","6500018896","2025-04-17T12:07:50.697Z"
"c_clientponumber","220","220_c_clientponumber","Client PO number","text","6500019310","2025-04-17T12:07:50.697Z"
"c_clientponumber","272","272_c_clientponumber","Client PO number","text","8000164597","2025-04-17T12:07:50.706Z"
